yr,mnth,holiday,weekday,workingday,weathersit,temp,windspeed,cnt,season_2,season_3,season_4
-1.001368926034455,1,0,6,0,2,-0.8266621329842936,-0.387891690563003,985,False,False,False
-1.001368926034455,1,0,0,0,2,-0.7210947086258755,0.7496017172737983,801,False,False,False
-1.001368926034455,1,0,1,1,1,-1.6346566450472237,0.7466318617370079,1349,False,False,False
-1.001368926034455,1,0,2,1,1,-1.614779727488982,-0.38982855286960544,1562,False,False,False
-1.001368926034455,1,0,3,1,1,-1.4674139225886729,-0.046306654170613734,1600,False,False,False
-1.001368926034455,1,0,4,1,1,-1.5910105202438678,-1.3031340224417987,1606,False,False,False
-1.001368926034455,1,0,5,1,2,-1.6337929066054742,-0.2809768912385539,1510,False,False,False
-1.001368926034455,1,0,6,0,2,-1.8061141924335535,0.9854469841410766,959,False,False,False
-1.001368926034455,1,0,0,0,1,-1.951894654624322,2.21401165763432,822,False,False,False
-1.001368926034455,1,0,1,1,1,-1.883560917144118,0.42327915585743536,1321,False,False,False
-1.001368926034455,1,0,2,1,2,-1.7837499268310326,-0.8826179733307508,1263,False,False,False
-1.001368926034455,1,0,3,1,1,-1.763873009272791,1.473833270958546,1162,False,False,False
-1.001368926034455,1,0,4,1,1,-1.8061141924335535,1.4269999403849014,1406,False,False,False
-1.001368926034455,1,0,5,1,1,-1.8286916592970133,-0.8255967470243779,1421,False,False,False
-1.001368926034455,1,0,6,0,2,-1.43255824977477,-0.4199532179449606,1248,False,False,False
-1.001368926034455,1,0,0,0,1,-1.4416657703061317,-0.026511921397138066,1204,False,False,False
-1.001368926034455,1,1,1,0,2,-1.7468934421837095,0.045591006069978554,1000,False,False,False
-1.001368926034455,1,0,2,1,2,-1.5236662552823768,-0.5644173211867407,683,False,False,False
-1.001368926034455,1,0,3,1,2,-1.1108922140089543,0.23023854596606866,1650,False,False,False
-1.001368926034455,1,0,4,1,2,-1.2776648003536417,0.06995673388703602,1927,False,False,False
-1.001368926034455,1,0,5,1,1,-1.7377804549533495,2.1015703445283656,1543,False,False,False
-1.001368926034455,1,0,6,0,1,-2.384871428716292,-0.23908901575443356,981,False,False,False
-1.001368926034455,1,0,0,0,1,-2.1804644464568073,0.7245645438571188,986,False,False,False
-1.001368926034455,1,0,1,1,1,-2.1757106050077843,-0.41521436150147345,1416,False,False,False
-1.001368926034455,1,0,2,1,2,-1.486432568404163,-0.7836572218787485,1985,False,False,False
-1.001368926034455,1,0,3,1,3,-1.5191124950166959,1.3346761704368566,506,False,False,False
-1.001368926034455,1,0,4,1,1,-1.6421132224810635,-0.9897264588858604,431,False,False,False
-1.001368926034455,1,0,5,1,2,-1.5957665483724899,-0.8675362721700072,1167,False,False,False
-1.001368926034455,1,0,6,0,1,-1.6337929066054742,-0.5826238268688027,1098,False,False,False
-1.001368926034455,1,0,0,0,1,-1.5244589266371473,-1.5043430263008764,1096,False,False,False
-1.001368926034455,1,0,1,1,2,-1.7195599471916279,-0.04253622888042801,1501,False,False,False
-1.001368926034455,2,0,2,1,2,-1.657562113850588,-1.772528728722263,1360,False,False,False
-1.001368926034455,2,0,3,1,2,-1.2867777875840016,0.9532175953592136,1526,False,False,False
-1.001368926034455,2,0,4,1,1,-1.686081882525326,1.126812107692293,1550,False,False,False
-1.001368926034455,2,0,5,1,2,-1.5529841620108837,-0.8089268187722202,1708,False,False,False
-1.001368926034455,2,0,6,0,2,-1.43255824977477,-0.37971813162914114,1005,False,False,False
-1.001368926034455,2,0,0,0,1,-1.1455565523579123,-0.6286565876890515,1623,False,False,False
-1.001368926034455,2,0,1,1,1,-1.2229978103694783,-1.8733062570178587,1712,False,False,False
-1.001368926034455,2,0,2,1,1,-1.5008919872549744,2.21401165763432,1530,False,False,False
-1.001368926034455,2,0,3,1,2,-1.9713014360687005,-0.021269480753934165,1605,False,False,False
-1.001368926034455,2,0,4,1,1,-1.9190124601488479,0.4060798185748066,1538,False,False,False
-1.001368926034455,2,0,5,1,1,-1.6744159468627058,-1.0579943989859044,1746,False,False,False
-1.001368926034455,2,0,6,0,1,-1.491779000024614,0.16632208984819122,1472,False,False,False
